Domain,College Name,Are undocumented students considered international or domestic?,Are you need-blind for undocumented students?,Are there any restrictions on merit aid for undocumented students at your school?,Does your school provide merit aid specially for undocumented students?,Would you advise an undocumented student to reveal their status in their application or subsequent email?,How would their status affect their application?,Is there a special contact point for undocumented students?,What other piece of advice would you give an undocumented student hoping for admission at your school?,Other Admissions Information,Are undocumented students eligible for need-based aid?,"What financial aid application should undocumented students send? The CSS, FAFSA, ISFAA or a form unique to your school?","If need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",What would be the requirements for such scholarships and what would a student's chances of getting them?,Other Financial Aid Information,Are there organized groups or clubs comprised of or advocating for undocumented students in your school?,How often does your office receive applications from undocumented students?,Does your school allow Immigration and Customs Enforcement (ICE) officers onto campus without a warrant?,Does the campus police enforce immigration law?,Does your school share student immigration status with ICE?,Does your school provide distance-learning options for deported students to complete their degrees?,Does your school provide confidential legal support to students with immigration law questions and issues?,Other Student Life Information,Has undocu-student webpage,Other Information,Special Contact,Gives aid?
louisiana,University Of Louisiana At Lafayette,"They are considered international students for admission purposes, but we do offer out of state tuition waivers",We do not take a student's financial decision into account when determine eligibility for admission. Only a student's academics are considered.,You can find information on our international scholarship opportunities here: https://scholarships.louisiana.edu/international,You can find information on our international scholarship opportunities here: https://scholarships.louisiana.edu/international,,,"Admissions decisions are based solely on academics provided. The point of contact is Kristina Bernard, email intladmissions@louisiana.edu.","We do not hold any bias on any applicants, if a student is not meeting admission to the university, we discuss what the options are to meet eligibility via email or letter in the mail.",,Federal funding is not available to international nor undocumented students unless they hold a citizenship status that have been approved by the federal government to receive aid,,Feel free to email finaid@louisiana.edu for additional information on this. Also visit: https://financialaid.louisiana.edu/content/eligibility-policies/citizenship-selective-service. We do offer payment plans to allow students to pay their tuition throughout the semester: https://bursar.louisiana.edu/payment-options/payment-plan-option.,"We offer academic scholarships (a student can only meeting eligibility for one scholarship): https://scholarships.louisiana.edu/international.
As well as the payment plan option: https://bursar.louisiana.edu/payment-options/payment-plan-option",,"We do not have specific group for undocumented students, but we do try our best to assist students in acclimating to the university and try to pair them with other international students if that is needed: https://internationalaffairs.louisiana.edu/prospective-students/prospective-students.","Each semester we receive undocumented student applications, and they are processed accordingly.",This is a question for our Division of Global Engagement/ Office of International Affairs: https://globalengagement.louisiana.edu/. You can email them at ioa@louisiana.edu.,"Again, this would be best suited for the OIA staff to answer.",This one as well is for OIA,We do offer several academic programs that are completed solely online. Please keep in mind these programs have a flat tuition rate and not all programs are for first time college students. You can email online@louisiana.edu to find out exactly which ones are for first time and or transferring college students. https://online.louisiana.edu/programs,"We do not have an immigration attorney on campus for students , we do our best to support students and if asked specifically for recommendations we point them in the direction of finding someone to best suit the student's needs.",,,,intladmissions@louisiana.edu Kristina Bernard,0
lynchburg,University Of Lynchburg,International,Yes,Merit aid is the funding provided for students based upon GPA.,yes,,No effect - admitted based upon academic preparation,No,,,No,,"Students who have a US co-signer on a loan would be eligible for loan in addition to merit scholarships. University of Lynchburg is private so the [average] cost after scholarship is $30,500 annually.",,,Not specifically.,A few each year,No,No,No,No,No,,,,,0
umbc,University Of Maryland Baltimore County,,,,,,,,,,,,,,,,,,,,,,,https://enrollment.umbc.edu/undocumented/,,,
umb,University Of Massachusetts Boston,,,,,,,,,,,,,,,,,,,,,,,,"Undocumented students can certainly apply for admission and you will submit the regular application requirements. Meaning you will need to submit, application form, official transcripts, essay, letter of recommendation, and any necessary test results. You can also find some information on undocumented students admission on our website by https://www.umb.edu/life_on_campus/multiculturalaffairs/isp/undocumentedsupport.
If you want to apply, please visit https://admissions.umb.edu/apply. You will need to submit your application form, essay, letter of recommendation, and official transcripts. We do allow students to apply with or without SAT results. As you move through the application process, please let us know if we can be of further assistance. We can be reached at 617-287-6100 or by scheduling an appointment virtually https://admissions.umb.edu/freshman-students/events.
In regard to financial aid. Unfortunately, we cannot offer in-state tuition and you would not be eligible for federal financial aid funding. However, there may be other forms of merit-based aid that you would be eligible for, so we encourage you to also work with our Financial Aid Office if you have questions about available merit-based aid: finaid@umb.edu.",,0
umn,University Of Minnesota At Crookston,,,,,,,,,,,,,,,,,,,,,,,,"Here are some links that should be helpful in answering some of your questions:

https://www.higheredimmigrationportal.org/

https://immigrantsrising.org/resource/quick-guide-to-college-access/

http://dream.umn.edu/

If you have further questions, contact feel free to reach out to our University Immigration Response Team, their contact information is included below. Immigration Response Team members are available to talk with individuals who are looking for legal assistance and need information about where to get help. Please email them if you're looking to request a consultation.

1901 University Avenue SE, Suite 300
Minneapolis, MN 55414

Phone: 612-624-4224
Email: immigration@umn.edu",,0
missouri,University Of Missouri,,,,,,,,,,,,,,,,,,,,,,,,"Missouri state statutes require all public universities in the state to charge undocumented students, and those with DACA status, the non-resident tuition rate and prohibit students with either of those statuses from receiving any state or institutional aid. You can see the <a href=""https://legiscan.com/MO/text/HB3/id/1213659"">language of the statute here</a>, with the relevant part to this topic appearing in the first paragraph on the first page.",,0
unr,University Of Nevada Reno,"- If the student has been living in the US for more than 1 year or is graduating from a high school here in the US, the student would be considered a domestic student.","- We are not officially a need-blind institution, however, every student is admitted as long as the admission requirements are met. You can learn more about our Admission Requirements at https://www.unr.edu/admissions/undergraduate/freshman/requirements

Are there any restrictions on merit aid for undocumented students at your",,"- We do not have specific scholarships for undocumented students but as mentioned before, students can qualify for our general institutional scholarships

Would you advise an undocumented student to reveal their status in their",,- It would not at all as long as they meet the admission requirements.,"- We have a website available full of resources available for our undocumented and DACA students. https://www.unr.edu/equal-opportunity-title-ix/resources/daca

What other piece of advice would you give an undocumented student hoping",,- Worry about your academics and not your undocumented status. Your status will have zero impact in the admission decision with us.,"- Yes. Instead of submitting a FAFSA, students can submit an Institutional Methodology Form which acts like an in house FAFSA application for those students that do not have a social security number and are unable to submit a FAFSA. We will look into family income and determine aid need from that.",,,,- Requirements for our institutional scholarships can be found at https://www.unr.edu/financial-aid/scholarships/first-year-scholarships . Questions should be directed to the Financial Aid office.,,,,,,,,,,"If you have additional questions about resources for undocumented and DACA students, we recommend reaching out to our Equal Opportunity & Title IX office. Please visit https://www.unr.edu/equal-opportunity-title-ix/resources/daca for more information.",,0
unc,University Of North Carolina Chapel Hill,,,,,,,,,"The application does ask students to disclose citizenship status. Students who do not hold U.S. citizenship or permanent resident status would be considered international students at Carolina. More information on the international student application process may be found at: https://admissions.unc.edu/apply/international-students/. When reviewing applications for admission, we do review need-blind.

We understand that students travel many different roads to get to Carolina, and we celebrate the variety of interests, backgrounds, and aspirations that they bring with them. At the same time, it's fair to say that we seek excellence. We focus first on academic excellence, using a variety of information-courses, grades, test scores, recommendations, essays-to help us assess performance and potential. Because of the holistic nature of our review, there is no formula for admission--no one is automatically admitted or denied because of a single number or factor. We read applications in a thoughtful manner, as we work to understand each student individually. In seeking students who will contribute to our community and benefit from the Carolina experience, we need to know much more than just grades or test scores.

We're committed to a safe and welcoming environment for students and we want to see students thrive and complete their education at Carolina.",,,,,"We are committed to access and affordability for all of our students and our tuition and fees are among the lowest in the nation. International students (those who do not hold US citizenship or permanent resident status) should understand, however, that they are not eligible to receive need-based financial aid and should be prepared to pay the full cost of attendance. We are able to consider international students for a very limited number of scholarships. There is no separate application for these scholarships as students are automatically considered when they apply. More information about the financial aid process for international students may found here https://studentaid.unc.edu/special-circumstances/international-students/.",,,,,,,,,,Thank you for your interest in learning more about Carolina. We know that students manage a lot of nuance and detail as they're applying to colleges and we want to be a resource that helps make the process more approachable. We welcome and encourage students to reach out to us directly so we can help with their specific questions. Anyone on our team would be able to speak with students and families about the admissions process by phone or email at 919-966-3621 or unchelp@admissions.unc.edu.,,0
uncc,University Of North Carolina Charlotte,,,,,,,,,,,,,,,,,,,,,,,,"Please refer to two links below that have documentation on our admissions policies
<a href=""https://admissions.uncc.edu/counselors/high-school-counselors/undocumented-students#:~:text=Undocumented%20students%20often%20learn%20more,applicants%20regardless%20of%20citizenship%20status"">Admissions</a>
<a href=""https://dso.uncc.edu/advocacy-support/daca-unc-charlotte"">Dean of Students</a>",,0
ung,University Of North Georgia,,,,,,,,,,,,,,,,,,,,,,,,,"Leri Argueta, Leri.Argueta@ung.edu, Associate Director for Diversity Recruitment",0
unco,University Of Northern Colorado,"When filling out our Bear App and come to the citizen question, students will select “Nonresident/non-citizen” and then select yes for the “ I am a DREAMer, undocumented or DACA student…” portion.",,,,,,Yes! Rudy Vargas is an amazing resource. Rudy is UNC’S Coordinator of Undocumented Student Services and the DREAMer Engagement program. He helps provide DREAMers with the tools to enroll and be successful students while at UNC.,,"How to Apply to UNC:
When you apply to UNC as a DREAMer, Undocumented, or DACA student:
a. Apply to UNC online by starting a Bear App, and select the undergraduate or graduate option to begin.
b. Fill out the application and when prompted to select citizenship status, choose ""Nonresident/non-citizen.""
c. Then select yes for the ""I am a DREAMer, undocumented or DACA student..."" portion.
d. If you have questions while completing your application email Rudy Vargas.

Learn more: https://www.unco.edu/equity-inclusion/dreamers.aspx","Yes, undocumented students are encouraged to complete the CASFA form to be considered for campus-based aid.",,"We highly encourage DREAMers to also fill out UNC’S Universal Scholarship Application by the priority deadline to take advantage of the 600+ foundation-based scholarships.
Chegg.com is also a great resource searching for scholarships as they offer over 25,000 scholarships.
Undocumented students are welcome to apply for scholarships as well.","It would depend on what type of scholarship it is and whether or not they require additional requirements. Unfortunately, scholarships are not guaranteed, but we always recommend students fill out scholarship applications.",You will only need to complete the CASFA form linked in the previous question.,,,,,,,,,,,,0
uni,University Of Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,https://admissions.uni.edu/dacamented-and-undocumented-students,,,
ou,University Of Oklahoma,,,,,,,,,"On the link below you will be able to see our Undocumented admission website. It should answer all your questions about admissions.
https://www.ou.edu/admissions/apply/undocumented",,,,,,,,,,,,,"For questions about Student Life, please contact Juan Cabrera:
https://www.ou.edu/studentlife/diverse_communities/latino_student_life",,,,0
pacific,University Of Pacific,,,,,,,,,,,,,"Music: audition and apply for a music major. They can find more information on majors here: https://music.pacific.edu/music/music-major

Athletics: Pacific is a NCAA Division 1 School, so the students need to be the very best at their sport to be considered for athletic scholarships. Our coaches award all of the athletic scholarships, so it is recommended that the student complete a prospective athlete questionnaire for their specific sport and contact the coach about his/interest in playing for Pacific. Athletics information can be found here: https://pacifictigers.com/",,,,,,,,,,,,Kathleen Crisp kcrisp@pacific.edu.,0
up,University Of Portland,,,,,,,,,,,,,,,,,,,,,,,,https://www.up.edu/inclusion/undocumented-students/index.html,Yuri Hernández Osorio: hernandy@up.edu Casandra Esparza: esparza@up.edu,0
pugetsound,University Of Puget Sound,,,,,,,,,,,,,,,,,,,,,,,,"This page has information on policies and protection: https://www.pugetsound.edu/student-life/resources-for-undocumented-persons/.

And this webpage has information on admission and financial aid: https://www.pugetsound.edu/admission/policies-on-undocumented-students/.",,0
usciences,University Of Sciences,,,,,,,,,We consider undocumented students domestic students. We do not consider status as a deciding factor for admission. USciences is also need-blind. We consider every student that applies for an academic or merit-based scholarship.,,,,,"Unfortunately, undocumented students are not eligible for need-based aid as we consider the FAFSA application which requires an SSN. However, our tuition ($27,500) is dramatically lower than many other schools.",,,,,,,,At this time we do not have any organizations for undocumented students specifically but we have a welcoming campus environment.,,,,0
scranton,University Of Scranton,,,,,,,,,,,,,,,,,,,,,,,,,Stacey Urgento stacey.urgento@scranton.edu Admissions and Robert Perhacs reobert.perhacs@scranton.edu Financial Aid,0
sc,University Of South Carolina Columbia,,,,,,,,,,,,,,,,,,,,,,,,"Unfortunately, South Carolina is one of the few states that do not allow undocumented students to attend public institutions of higher education in the state.",,0
uvm,University Of Vermont,,,,,,,,,Undocumented students are considered international students for admissions purposes here at the University of Vermont. You can view our admissions process for international applicants here: https://www.uvm.edu/admissions/undergraduate/international-students-how-apply,,,,,"Undocumented students are considered for the same amount of merit scholarship as all other students, up to $20,000 per year. Students interested in discussing their individual financial situation and tuition costs would need to contact our office of Student Financial Services: https://www.uvm.edu/studentfinancialservices",,,,,,,,,,"For students admitted to UVM, we would be happy to discuss all other questions in further detail.",,0
uwest,University Of West,Domestic students,"Yes, we are need blind for all students. We highly encourage financial aid counseling appointments to inform students and families of the financial responsibilities, and to help them apply for scholarships & aid.",,"UWest offers 2 scholarships for undocumented students, <a href=""Dream_Scholarship_Policy_2122.pdf"">the Dream Scholarship</a> & <a href=""AJ_Wang_Scholarship.pdf"">the AJ Wang Scholarship</a>– scholarships can also be combined.",,"A student’s undocumented status would not affect their application. UWest review all applications as a holistic application, as long as academic requirements are met the application will be reviewed by the Admission committee.",,"We are a small school of about 300 students, and our population consists of 50% International students. We aid every single to student from the moment they apply all the way through graduation. We encourage undocumented student to keep pursuing your goals, to look for a school that best fits your needs & continue to achieve your goals.",No but financial aid or enrollment will reach out for financial aid & scholarship opportunities.,,,,,,,,,,,,,Otherwise we can provide resources for outside immigration law questions and issues.,,,"Undocumented students can reach out to: <p>Student Services Director: Vanessa R. Karam<p><a href=""tel:(626) 571- 8811""><b>Call</b></a><p><a href=""mailto:vanessak@UWEST.EDU""><b>Email</b></a><p>Student Affairs Committee:<p><a href=""mailto: student_affairs@UWEST.EDU""><b>Email</b></a>",0
uwosh,University Of Wisconsin Oshkosh,"They are considered international depending if the qualify for the following:
• If you are a Wisconsin Resident and meet our Tuition Remission Criteria
• If you are part of our Midwest Student Exchange Program (MSEP)
• Otherwise you would be considered non-resident and pay the cost of tuition our non-resident would pay",Once you are admitted you are a student and you get all the same privileges a students get regardless of your status using your school id,There are some scholarships that require FAFSA app filled to determine need while others only require proof of enrollment so there are some restrictions,No we do not offer any scholarships specifically for undocumented students but are looking to see if we can establish one.,,It would only determine their status to determine their cost,"If students have questions, they can contact me directly (delgadoe@uwosh.edu) to determine what status they are eligible",Their status is kept confidential and only 2-3 people on campus will know their status for eligibility of tuition remission and will not disclose without consent or authorization from the student,It is up to the comfort level of the student but we may follow up to clarify if we have questions,There may be some scholarships they can apply that do not require proof of citizenship or FAFSA on file,,"No there are no feasible paths but students have been able to find ways to through scholarships, other community scholarships and working on campus.",,We do not offer additional aid other than scholarships they can apply for,At this moment no. We have a small population of students but we are looking into setting something up in the future,We get a handful every year,"No it does not, we were in the process of setting something up but everything goes through our university police and they do not check or ask students their status",No,No,"I am not sure, we have not had something like this happen",Our school does have access to a lawyer and they will refer students to local lawyers if students would need legal advice or support,,,,,0
uwstout,University Of Wisconsin Stout,,,,,,,,,,,,,,"International students do not qualify for financial aid.
International students could contact the International office on campus to see if they qualify for a waiver.
715-232-2132.",,,,,,,,,,,,0
uww,University Of Wisconsin Whitewater,"Undocumented students are considered domestic, but can be considered as either a resident or non resident for tuition purposes. After applying, an admissions counselor will reach out asking for the necessary documents to determine if the student qualifies for in-state or out-of-state tuition.",We do not take financial need into consideration when reviewing applicants. Admissions decisions are based on academic achievement only.,There are no restrictions preventing undocumented students from receiving aid.,"Through the Admissions office, there are no scholarships available only to undocumented students. Since most undocumented students will be considered non-resident, they are eligible to receive our merit based Non-Resident Scholarships. Details on these scholarships can be found on the PDF attached below.",,Having an undocumented status does not negatively affect your application. You will not be denied simply because you are undocumented. Your status will only affect your residency for tuition purposes.,,,One of the questions the application asks is about your Citizenship status. Disclose here that the student is undocumented.,,,,,,,,,,,,,,,,"Anne Stinson <a href=""mailto:StinsonA@uww.edu""><strong>Email</strong></a> or <a href=""tel:(262) 472-1973""><strong>Call</strong></a>",0
ursuline,Ursuline College,"Since we are private and do not have in-state/out of state tuition students are not required to provide proof of residency. An undocumented student is treated as any other applicant, but may still be required to complete some international student application requirements, such as proof of funding.","We do review applications need-blind, but we may require admitted international and undocumented students to provide proof of funding for the first year.","All students, including international students, undocumented students, and those who choose not to disclose their immigration status, are eligible for merit based aid. The highest merit scholarship amount is $22,500/year.",We do not have any specific scholarships for undocumented students. Those students are eligible for the same merit-based aid as other students.,,,,,We encourage students to do whatever they are most comfortable with.,"No, we do not have need-based aid for undocumented students, but we do offer merit aid.",,"Ursuline only offers merit-based aid for international and undocumented students and does not offer full-tuition scholarships to any students, including domestic students. We encourage international students and undocumented students to seek out third-party scholarships and grants, which they can stack with Ursuline offered aid.",Students can see our scholarship grid for domestic undergraduate students here and for international students here.,,We don’t currently have any organized groups like this on campus.,We do not track that information. Since we are private and do not have in-state/out of state tuition students are not required to provide proof of residency. An undocumented student is treated as any other applicant.,,,,,,,,,"There is no designated contact point for undocumented students, but the student’s Admission Counselor would be able to connect them to any resources they may need. If they do disclose their status as an undocumented student, they could also be in touch wi",0
usu,Utah State University,,,,,,,,,https://www.usu.edu/admissions/apply/,,,,,https://www.usu.edu/scholarships/undocumented-student-resources,,,,,,,,https://www.usu.edu/inclusion/advocacy/index,,,,0
uvu,Utah Valley University,,,,,,,,,,,,,,,,,,,,,,,,https://www.uvu.edu/studentaffairs/initiatives/,,0
vassar,Vassar College,,,,,,,,,,,,,,,,,,,,,,,,"At Vassar, we welcome undocumented students to apply for admission. Undocumented students are considered international students in our applicant pool. As it relates to financial aid, Vassar is committed to meeting the full demonstrated need of all admitted students. Vassar is need-aware for international students.

We have a program here called the Transitions program which is specifically geared to support undocumented students, first-generation and students who come from low-income households. I've provided you the link to a few different websites below that talk about the application process for international students, an opportunity to attend an information session and a link to an article about the transitions program here. I encourage you to visit the websites and sign up for the session. If you still have questions after utilizing those resources, feel free to <a href=""mailto:ddurham@vassar.edu"">email me</a>.

<a href=""https://www.vassar.edu/admissions/visit-us/"">Information Session & Visit Options</a>
<a href=""https://www.vassar.edu/admissions/financial-aid/"">Financial Aid</a>
<a href=""https://www.vassar.edu/admissions/student-faqs/international-students.html"">International Student FAQs</a>
<a href=""https://stories.vassar.edu/2016/transitions.html"">Transitions Program</a>",,0
wsu,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,"A lot of your questions can be answered through the links below:
https://www.undocumented.wsu.edu
https://admission.wsu.edu/apply/undocumented-students/
https://financialaid.wsu.edu/wasfa/
On the very first link, I would try to connect with someone listed in that office. Every student is evaluated independently as it pertains to our admission requirements. The best thing to do is to work with their assigned admissions counselor that can be found at https://www.rep.wsu.edu to assist the student in the process. Every department has their respective processes and resources to assist students that need assistance in the process of enrolling.",,0
wustl,Washington University of St Louis,"Students who are undocumented will be considered as international students but the review process both domestic and international student is holistic and a students citizenship status will never be used as a measure of a students ""worthiness"" of admission.","We are need-aware for all applicants but we are an institution that is committed to meeting 100% of demonstrated financial need for every student, including our undocumented students. Being need aware does not prevent us from making offers of admission to students who we feel would be great contributors to our community.",,"Yes, Undocumented students are eligible for our Academic Divisional Scholarships as well as our Signature Scholarships. We do not have a specific scholarship exclusively for undocumented students.",,,WashU students have an assigned admissions officer who is their point of contact and we value getting to know students name and story. A students admissions officer is their point of contact and will be their advocate in the committee review process.,"I would share that students should feel comfortable sharing a bit of themselves with us. We take tremendous pride in the stories student share with us and build our class one student at a time. While we know that we cant admit every applicant, we appreciate the diversity that every story has as we build our community. The story telling aspect of the application process can look many different ways and we want students to know that their story is theirs to share and we value the time and effort they put into the process.",Students are free to disclose their status in a way that is comfortable for them. We care and respect their privacy and will never do anything to jeopardize a student in any way. Please refer to our policies toward undocumented students.,Undocumented students are eligible for need-based aid and can complete the CSS Profile (waivers are available if cost is a prohibitive).,,Students are able to stack their outside scholarships up to the cost of attendance at at WashU.,Students are automatically considered for our academic scholarships at the time they submit their application for admission (based on the academic division that they select). Students can also apply for our three signature scholarships once a student has submitted their application for admission and received access to their WashU pathway (system that allows students to track their application status).,"To be considered for aid, students will need to apply using the CSS Profile which will help us get a sense of their family's financial circumstances.","With more than 400+ student clubs and organizations for students to participate in, there may be a club that exists but students are able to create their own clubs and organizations for students to join.",We receive applications from students who are undocumented every application cycle.,"No, WashU does not allow Immigration and Customs Enforcement (ICE) officers on to campus without a warrant.","The primary role and responsibility of the Washington University Police Department (WUPD) is to maintain a safe learning environment. WUPD officers are visible, accessible and dedicated to their primary goal: making sure that every member of our community and our visitors feel safe on and around our campuses. As a matter of course, WUPD officers do not inquire about immigration status in carrying out their day-to-day responsibilities. they only will do so if related to criminal violations or threats of violent behavior. Further, WUPD does not detain individuals solely because of their immigration status. It is neither the university’s practice nor expectation that WUPD will function as an agent of the federal government in the enforcement of federal immigration laws. WUPD will of course comply with lawful subpoenas or other legal requirements.",The university will zealously protect the privacy of confidential student information and will adhere to the privacy protections granted to our students by federal law. The university will not release information about immigration or citizenship status to third parties unless required by court order or other legal requirement.,"The COVID-19 crisis has greatly improved the University's ability to provide various instruction modes to students, including virtual. I am not sure what our current policies are but I do know that we have several resources that may provide deeper insight into our policies: Center for Diversity & Inclusion (314-935-7535) the Office for International Students and Scholars, (314-935-5910), and the Office of Scholar Programs (contact Julia Macias or call 314-935-8379).","Through the Office of International Students and Scholars (OISS), the university will provide information and referral resources for undocumented students needing legal assistance.",,,,,0
wayne,Wayne State University,,,,,,,,,(Please note that WSU now offers a test optional admissions path which will continue to be an option for students applying to college for the 2021-2022 application cycle). We understand that many undocumented students have very specific and unique circumstances and we are committed to supporting undocumented students who are interested in attending WSU.,,,,,,The Center for Latino/a and Latin American Studies supports DACA and undocumented students with personalized advising and resources.,We do not keep a record of or information related to a student’s undocumented status.,Not that I am aware of.,No.,No.,WSU now offers more virtual learning and degree options for students as a result of the COVID-19 pandemic. Prior to the pandemic there were very few options for any students to complete their degrees through distance learning options.,The Wayne State University Law School has an established Immigration Law Clinic where students and/or members of the community can receive free and confidential legal assistance related to immigration law matters.,,,,"Ericka M. Jackson, Senior Director Office of Undergraduate Admissions, 313-577-2100, admissions@wayne.edu. Catherine Kay, Senior Director Office of Student Financial Aid, 313-577-2100, studentservice@wayne.edu. Melissa Miranda Morse, Assistant Director, S",0
wells,Wells College,It depends on the student. A college has no way of knowing if a student currently present in the USA has official status or not except if a student informs the school or if a school official figures it out based on lack of abilty to declare a specific status like US citizen or PR or a visa-holder of some sort. A lot depends on where they most recently attended college (if any) or high school prior to applying to Wells.,"We don’t know of a student’s need until they submit a FAFSA. Not submitting a FAFSA is another sign that the student is on a non-immigrant visa or undocumented, in which case they don’t qualify for state/federal financial aid programs. So, by default, the answer is “no”.",,,,,,Don’t be afraid to state the truth about your situation. Nobody can assist you if you hide it but make sure you have a relationship with your admissions counselor for the best service and the most help.,,,,,,,,,,,,,,,,,international admissions person or whichever admissions counselor reaches out to you,0
wesleyan,Wesleyan University,,,,,,,,,,,,,,,,,,,,,,,,"Information for DACA/undocumented applicants can be found here on the Office of Admission website

https://www.wesleyan.edu/admission/apply/undocdaca.html

Additionally, you can find information regarding financial aid for undocumented students here:

https://www.wesleyan.edu/finaid/applyingforaid/prospectiveapplicants/firsttimestudent-daca_undoc.html

For the questions regarding student life, you will need to reach out to Student Affairs directly. Their website can be found here:

https://www.wesleyan.edu/studentaffairs/",,0
wku,Western Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,"First off, all residents of any state that borders Kentucky actually receive in-state tuition here at WKU through the Border State Scholarship. You can learn more at www.wku.edu/border. This is guaranteed to any student accepted to WKU regardless of documentation status.



Undocumented students apply as domestic students at WKU. We will never share their information with ICE or any immigration officials and they are not allowed on campus without a warrant. Students should answer directly on the application that they are undocumented, however it will not affect their application process at all. As long as an undocumented students meets our admission requirements they will be admitted to WKU. Students are admitted to WKU with at least a 2.5 unweighted GPA (no ACT is required for admission). If the student is between a 2.0-2.49 unweighted GPA they can be admitted but at that point their ACT score would determine their admission eligibility.



Undocumented students are eligible for our merit scholarships here at WKU. You can view a list of our merit opportunities at https://www.wku.edu/financialaid/scholarships/freshmen-2122-academicyear.php. There are no applications for the scholarships on that page (except the Cherry Presidential) and they will be applied to the students account automatically as long as they meet the minimum requirements for the awards. They are renewable and stackable. We also have a minority scholarship called the Cornelius A Martin Award that the majority of undocumented students that I work with receive. Any other questions regarding financial aid at WKU should be directed to their office at fa.help@wku.edu.



I work with undocumented quite regularly and many of those students choose to enroll at WKU for our campus community. We are a mid-sized institution that prides itself on the strong relationships between our faculty and students. They truly go above and beyond to help our students succeed, and as an institution we provide every resource possible to ensure that our students achieve their academic, career, and personal goals. WKU is located in Bowling Green which was voted the best city to live in Kentucky as well as a top college town in America. WKU is proud of our diverse student body, and our Intercultural Student Engagement Center works directly with any underrepresented student to provide them with additional academic, social, and professional support. You can learn more about their programs and initiatives at https://www.wku.edu/isec/.",,0
wwu,Western Washington University,International,Our admissions process is need blind for all students,,,,Their status wouldn’t affect our review process,,,"They can if they feel comfortable and we will protect their status, but don’t require them to do so",,,,,,,,,,,,,,,"More information and resources can be found here:
Scholarship Center
https://www.finaid.wwu.edu/scholarships/pages/
Undocumented Students Resource Page
https://www.wwu.edu/undocumented-students
Blue Resource Group
https://as.wwu.edu/sairc/blue/",Admissions.counselors@wwu.edu,0
whittier,Whittier College,"Undocumented students are considered domestic. As a sanctuary campus, we don’t automatically differentiate between international and undocumented, so some additional requirements may populate in their application portal. All they have to do is email us to let us know their status and we will waive the additional requirements.","We are need-blind for all domestic students, yes.","No, there are no scholarship restrictions for domestic students. All scholarship awards are based on merit and strength of the applicant.",We do not provide scholarships specifically or undocumented students.,,,"All undocumented students are read by our International Admission Counselor, Shim Shimaz. again, as a sanctuary campus, we do not separate international students from undocumented students in our system.",We are a safe space and many of my colleagues and I have worked with both first-gen and undocumented students for several years.,,Undocumented CA residents may qualify for the Cal Grant by submitting the California Dream Act Application.,,We recommend seeking out outside scholarships for undocumented students or childhood arrivals.,We don’t set the requirements for outside scholarships.,We only accept the California Dream Act Application from CA residents. Out-of-state applicants don’t qualify for need-based aid through Whittier College.,The Office of Equity and Inclusion offers programming and resources to our first-gen and undocumented students.,We regularly receive applications from undocumented students.,"Please click the link to read our Poet Student Sanctuary Protections Policy. In essence, should ICE come to campus we will not knowingly or willingly share information on any of our students. We also have a campus alert system in place should ICE come to our campus.","No, it does not.","No, we do not.","Currently we do because of distance-learning, however that is not a topic of discussion that has come up when considering special accommodations to this specific group.","I don’t know the answer to that question. I don’t believe we do and I’m not sure who would be the best department to ask. There are, however, law offices that specialize in immigration law within walking distance of the college.",,,We only accept the California Dream Act Application from CA residents. Out-of-state applicants don’t qualify for need-based aid through Whittier College.,,0
williams,Williams College,Undocumented students are considered as domestic applicants.,"Williams College is need-blind for all domestic applicants, including undocumented students.",Williams College does not award merit scholarships to any students.,Williams College does not award merit scholarships to any students.,,,"Alejandra Moran and Courtney Oben, assistant directors of admission, are the primary contact point for undocumented prospective students and families, and for those with DACA status. You can reach Alejandra and Courtney at vam1@williams.edu and ceo3@williams.edu, respectively.","Our office is here to help and guide you through the admission process. We will be as proactive as possible to answer your questions and needs, but please don’t be afraid to give us a call or send us an email to ask further questions.","It is helpful for our admission to know of a student’s citizenship status during the application and financial aid processes to ensure we do not ask for any unnecessary documents, forms, etc. We want to streamline and ease these processes for students as much as possible.","Yes, Williams College only awards need-based financial aid packages to admitted students, including undocumented students and those with DACA status.",,,,Williams College requires that all applicants complete the CSS Profile. Please contact our Office of Student Financial Services to inquire about submitting the FAFSA.,"Yes, the Coalition for Immigrant Student Advancement (CISA) is a student organization committed to bringing awareness to and advocating for immigrant students’ on campus.",Our office is in conversations with and receives applications from undocumented students every year.,"No, Williams does not allow any outside agencies onto campus without a warrant from a judge.",Williams College does not have any campus police officers.,Williams does not share student information with ICE without a warrant from a judge.,Williams would work with students on an individual basis to determine whether or not distance-learning is possible to complete their degrees.,"Williams College cannot provide legal advice to students with immigrant law questions, but our Dean's Office provides connections to legal experts (i.e. attorneys or organizations).",,,,Alejandra Moran: vam1@williams.edu Courtney Oben: ceo3@williams.edu,0
